from,to,relation
fh,sh,1
sh,da,2
da,sh,2
sh,fh,1
mf,db,3
mf,ma,3
me,ksk,4
mf,dgc,5
cw,dgc,5
cw,afd,3
rh,afd,5
me,bw,4
ksk,bw,6
rvp,dgc,5
rvp,bw,4
pg,dgc,5
mvh,aaa,5
mvh,dgc,5
mvh,ksk,4
mvh,bw,4
me,aaa,5
mr,mf,2
mf,mr,2
pw,bw,4
pw,aaa,5
rr,dgc,5
bmw,afd,3
am,bw,4
am,ksk,4
me,mf,7
mf,me,7
hpr,me,8
mr,mf,8
mf,p,4
ig,p,4
tt,hpr,7
hpr,tt,7
aq,qa,5
me,qa,7
